protein_accession	db_source	name	stringid	sym	geneid	fam
O15438	SWISS-PROT	Canalicular multispecific organic anion transporter 2	ENSP00000285238	ABCC3	8714	Transporter
O15455	SWISS-PROT	Toll-like receptor 3	ENSP00000296795	TLR3	7098	None
O15460	SWISS-PROT	Prolyl 4-hydroxylase subunit alpha-2	ENSP00000166534	P4HA2	8974	Enzyme
O15496	SWISS-PROT	Group X secretory phospholipase A2	ENSP00000393847	PLA2G10	8399	Enzyme
O15528	SWISS-PROT	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	ENSP00000228606	CYP27B1	1594	Enzyme
O15530	SWISS-PROT	3-phosphoinositide dependent protein kinase-1	ENSP00000344220	PDPK1	5170	Kinase
O15547	SWISS-PROT	P2X purinoceptor 6	ENSP00000416193	P2RX6	9127	IC
O15552	SWISS-PROT	Free fatty acid receptor 2	ENSP00000246549	FFAR2	2867	GPCR
O15554	SWISS-PROT	Intermediate conductance calcium-activated potassium channel protein 4	ENSP00000262888	KCNN4	3783	IC
O43172	SWISS-PROT	NA	ENSP00000363313	PRPF4	9128	None
O43174	SWISS-PROT	Cytochrome P450 26A1	ENSP00000224356	CYP26A1	1592	Enzyme
O43184	SWISS-PROT	ADAM12	ENSP00000357668	ADAM12	8038	Enzyme
O43193	SWISS-PROT	Motilin receptor	ENSP00000218721	MLNR	2862	GPCR
O43240	SWISS-PROT	Kallikrein 10	ENSP00000311746	KLK10	5655	Enzyme
O43246	SWISS-PROT	Cationic amino acid transporter 4 	ENSP00000372390	SLC7A4	6545	Transporter
O43280	SWISS-PROT	Trehalase	ENSP00000264029	TREH	11181	Enzyme
O43283	SWISS-PROT	NA	ENSP00000265026	MAP3K13	9175	Kinase
O43293	SWISS-PROT	Death-associated protein kinase 3	ENSP00000301264	DAPK3	1613	Kinase
O43306	SWISS-PROT	Adenylate cyclase type VI	ENSP00000311405	ADCY6	112	Enzyme
O43318	SWISS-PROT	Mitogen-activated protein kinase kinase kinase 7	ENSP00000358335	MAP3K7	6885	Kinase
O43353	SWISS-PROT	Serine/threonine-protein kinase RIPK2	ENSP00000220751	RIPK2	8767	Kinase
O43451	SWISS-PROT	Maltase-glucoamylase	ENSP00000447378	MGAM	8972	Enzyme
O43497	SWISS-PROT	Voltage-gated T-type calcium channel alpha-1G subunit	ENSP00000352011	CACNA1G	8913	IC
O43521	SWISS-PROT	Bcl-2-like protein 11	ENSP00000376943	BCL2L11	10018	None
O43524	SWISS-PROT	Forkhead box protein O3	ENSP00000339527	FOXO3	2309	TF
O43525	SWISS-PROT	Voltage-gated potassium channel subunit Kv7.3	ENSP00000373648	KCNQ3	3786	IC
O43526	SWISS-PROT	Voltage-gated potassium channel subunit Kv7.2	ENSP00000352035	KCNQ2	3785	IC
O43548	SWISS-PROT	Protein-glutamine gamma-glutamyltransferase X 	ENSP00000220420	TGM5	9333	Enzyme
O43561	SWISS-PROT	Linker for activation of T-cells family member 1	ENSP00000378845	LAT	27040	None
O43570	SWISS-PROT	Carbonic anhydrase XII	ENSP00000178638	CA12	771	Enzyme
O43603	SWISS-PROT	Galanin receptor 2	ENSP00000329684	GALR2	8811	GPCR
O43613	SWISS-PROT	Orexin receptor 1	ENSP00000362810	HCRTR1	3061	GPCR
O43614	SWISS-PROT	Orexin receptor 2	ENSP00000359899	HCRTR2	3062	GPCR
O43674	SWISS-PROT	NADH-ubiquinone oxidoreductase SGDH subunit	ENSP00000259037	NDUFB5	4711	Enzyme
O43708	SWISS-PROT	Glutathione S-transferase zeta 1	ENSP00000216465	GSTZ1	2954	Enzyme
O43741	SWISS-PROT	AMP-activated protein kinase, beta-2 subunit	ENSP00000254101	PRKAB2	5565	Enzyme
O43781	SWISS-PROT	Dual-specificity tyrosine-phosphorylation regulated kinase 3	ENSP00000356076	DYRK3	8444	Kinase
O43868	SWISS-PROT	Sodium/nucleoside cotransporter 2	ENSP00000315006	SLC28A2	9153	Transporter
O43895	SWISS-PROT	Xaa-Pro aminopeptidase 2	ENSP00000360147	XPNPEP2	7512	Enzyme
O43924	SWISS-PROT	Phosphodiesterase 6D	ENSP00000287600	PDE6D	5147	Enzyme
O60218	SWISS-PROT	Aldo-keto reductase family 1 member B10	ENSP00000352584	AKR1B10	57016	Enzyme
O60237	SWISS-PROT	Protein phosphatase 1 regulatory subunit 12B	ENSP00000384496	PPP1R12B	4660	Enzyme
O60256	SWISS-PROT	Phosphoribosyl pyrophosphate synthetase-associated protein 2	ENSP00000268835	PRPSAP2	5636	Enzyme
O60259	SWISS-PROT	Kallikrein 8	ENSP00000375682	KLK8	11202	Enzyme
O60266	SWISS-PROT	Adenylate cyclase type III	ENSP00000260600	ADCY3	109	Enzyme
O60285	SWISS-PROT	NUAK family SNF1-like kinase 1	ENSP00000261402	NUAK1	9891	Kinase
O60333	SWISS-PROT	Kinesin-like protein KIF1B	ENSP00000263934	KIF1B	23095	None
O60341	SWISS-PROT	Lysine-specific histone demethylase 1	ENSP00000383042	KDM1A	23028	Epigenetic
O60344	SWISS-PROT	Endothelin-converting enzyme 2	ENSP00000384223	ECE2	9718	Enzyme
O60391	SWISS-PROT	Glutamate [NMDA] receptor subunit 3B	ENSP00000234389	GRIN3B	116444	IC
O60427	SWISS-PROT	Fatty acid desaturase 1	ENSP00000322229	FADS1	3992	Enzyme
O60502	SWISS-PROT	Bifunctional protein NCOAT	ENSP00000354850	MGEA5	10724	Enzyme
O60503	SWISS-PROT	Adenylate cyclase type IX	ENSP00000294016	ADCY9	115	Enzyme
O60551	SWISS-PROT	Peptide N-myristoyltransferase 2	ENSP00000367407	NMT2	9397	Enzyme
O60563	SWISS-PROT	Cyclin T1	ENSP00000261900	CCNT1	904	None
O60603	SWISS-PROT	Toll-like receptor 2	ENSP00000260010	TLR2	7097	None
O60658	SWISS-PROT	Phosphodiesterase 8A	ENSP00000311453	PDE8A	5151	Enzyme
O60674	SWISS-PROT	Tyrosine-protein kinase JAK2	ENSP00000371067	JAK2	3717	Kinase
O60678	SWISS-PROT	Protein arginine N-methyltransferase 3	ENSP00000331879	PRMT3	10196	Epigenetic
O60704	SWISS-PROT	Protein-tyrosine sulfotransferase 2 	ENSP00000339813	TPST2	8459	Enzyme
O60706	SWISS-PROT	Sulfonylurea receptor 2	ENSP00000261200	ABCC9	10060	Transporter
O60725	SWISS-PROT	Isoprenylcysteine carboxyl methyltransferase	ENSP00000343552	ICMT	23463	Enzyme
O60733	SWISS-PROT	Calcium-independent phospholipase A2	ENSP00000333142	PLA2G6	8398	Enzyme
O60755	SWISS-PROT	Galanin receptor 3	ENSP00000249041	GALR3	8484	GPCR
O60760	SWISS-PROT	Hematopoietic prostaglandin D synthase	ENSP00000295256	HPGDS	27306	Enzyme
O60762	SWISS-PROT	Mannose-P-dolichol synthase	ENSP00000360644	DPM1	8813	Enzyme
O60779	SWISS-PROT	Thiamine transporter 1	ENSP00000236137	SLC19A2	10560	Transporter
O60840	SWISS-PROT	Voltage-gated L-type calcium channel alpha-1F subunit	ENSP00000365441	CACNA1F	778	IC
O60883	SWISS-PROT	Endothelin B receptor-like protein 2	ENSP00000356251	GPR37L1	9283	GPCR
O60885	SWISS-PROT	NA	ENSP00000263377	BRD4	23476	Epigenetic
O60894	SWISS-PROT	Receptor activity-modifying protein 1	ENSP00000254661	RAMP1	10267	None
O60895	SWISS-PROT	Receptor activity-modifying protein 2	ENSP00000253796	RAMP2	10266	None
O60906	SWISS-PROT	Neutral sphingomyelinase	ENSP00000258052	SMPD2	6610	Enzyme
O60911	SWISS-PROT	Cathepsin L2	ENSP00000259470	CTSV	1515	Enzyme
O60930	SWISS-PROT	Ribonuclease H1	ENSP00000313350	RNASEH1	246243	Enzyme
O60939	SWISS-PROT	Sodium channel beta-2 subunit	ENSP00000278947	SCN2B	6327	IC
O75015	SWISS-PROT	Low affinity immunoglobulin gamma Fc region receptor III-B	ENSP00000294800	FCGR3B	2215	None
O75038	SWISS-PROT	KIAA0450	ENSP00000367747	PLCH2	9651	Enzyme
O75106	SWISS-PROT	Retina-specific amine oxidase, copper containing	ENSP00000253799	AOC2	314	Enzyme
O75116	SWISS-PROT	Rho-associated protein kinase 2	ENSP00000317985	ROCK2	9475	Kinase
O75164	SWISS-PROT	Lysine-specific demethylase 4A	ENSP00000361473	KDM4A	9682	Epigenetic
O75173	SWISS-PROT	ADAMTS4	ENSP00000356975	ADAMTS4	9507	Enzyme
O75306	SWISS-PROT	NADH-ubiquinone oxidoreductase 49 kDa subunit	ENSP00000356972	NDUFS2	4720	Enzyme
O75311	SWISS-PROT	Glycine receptor subunit alpha-3	ENSP00000274093	GLRA3	8001	IC
O75343	SWISS-PROT	Guanylate cyclase soluble beta-2 chain	None	GUCY1B2	2974	Enzyme
O75355	SWISS-PROT	Ectonucleoside triphosphate diphosphohydrolase 3	ENSP00000301825	ENTPD3	956	Enzyme
O75365	SWISS-PROT	Protein-tyrosine phosphatase 4A3	ENSP00000332274	PTP4A3	11156	Enzyme
O75385	SWISS-PROT	Serine/threonine-protein kinase ULK1	ENSP00000324560	ULK1	8408	Kinase
O75387	SWISS-PROT	L-type amino acid transporter 3	ENSP00000278426	SLC43A1	8501	Transporter
O75414	SWISS-PROT	Nucleoside diphosphate kinase 6	ENSP00000416658	NME6	10201	Kinase
O75417	SWISS-PROT	DNA polymerase theta	ENSP00000264233	POLQ	10721	Enzyme
O75419	SWISS-PROT	CDC45-related protein	ENSP00000405726	CDC45	8318	None
O75460	SWISS-PROT	NA	ENSP00000401445	ERN1	2081	Kinase
O75469	SWISS-PROT	Pregnane X receptor	ENSP00000336528	NR1I2	8856	NR
O75493	SWISS-PROT	Carbonic anhydrase-related protein 2	ENSP00000084798	CA11	770	Enzyme
O75578	SWISS-PROT	Integrin alpha-10	ENSP00000358310	ITGA10	8515	None
O75582	SWISS-PROT	Ribosomal protein S6 kinase alpha 5	ENSP00000261991	RPS6KA5	9252	Kinase
O75676	SWISS-PROT	Ribosomal protein S6 kinase alpha 4	ENSP00000333896	RPS6KA4	8986	Kinase
O75688	SWISS-PROT	Protein phosphatase 2C beta	ENSP00000282412	PPM1B	5495	Enzyme
O75716	SWISS-PROT	Serine/threonine-protein kinase 16	ENSP00000379964	STK16	8576	Kinase
O75747	SWISS-PROT	NA	ENSP00000266497	PIK3C2G	5288	Kinase
O75762	SWISS-PROT	Transient receptor potential cation channel subfamily A member 1	ENSP00000262209	TRPA1	8989	IC
O75795	SWISS-PROT	UDP-glucuronosyltransferase 2B17	ENSP00000320401	UGT2B17	7367	Enzyme
O75815	SWISS-PROT	Antiestrogen binding site	ENSP00000260502	BCAR3	8412	None
O75828	SWISS-PROT	Carbonyl reductase [NADPH] 3	ENSP00000290354	CBR3	874	Enzyme
O75884	SWISS-PROT	Putative hydrolase RBBP9	ENSP00000336866	RBBP9	10741	Enzyme
O75899	SWISS-PROT	GABA-B receptor 2	ENSP00000259455	GABBR2	9568	GPCR
O75907	SWISS-PROT	Diacylglycerol O-acyltransferase 1	ENSP00000332258	DGAT1	8694	Enzyme
O75908	SWISS-PROT	Acyl coenzyme A:cholesterol acyltransferase 2	ENSP00000301466	SOAT2	8435	Enzyme
O75914	SWISS-PROT	Serine/threonine-protein kinase PAK 3	ENSP00000353864	PAK3	5063	Kinase
O75956	SWISS-PROT	Cyclin-dependent kinase 2-associated protein 2	ENSP00000301488	CDK2AP2	10263	Enzyme
O76021	SWISS-PROT	Ribosomal L1 domain-containing protein 1	ENSP00000460871	RSL1D1	26156	None
O76039	SWISS-PROT	NA	ENSP00000369325	CDKL5	6792	Kinase
O76062	SWISS-PROT	Delta(14)-sterol reductase	ENSP00000279263	TM7SF2	7108	Enzyme
O76074	SWISS-PROT	Phosphodiesterase 5A	ENSP00000347046	PDE5A	8654	Enzyme
O76083	SWISS-PROT	Phosphodiesterase 9A	ENSP00000291539	PDE9A	5152	Enzyme
O94760	SWISS-PROT	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	ENSP00000284031	DDAH1	23576	Enzyme
O94766	SWISS-PROT	Beta-1,3-glucuronyltransferase 3	ENSP00000265471	B3GAT3	26229	Enzyme
O94768	SWISS-PROT	Serine/threonine-protein kinase 17B	ENSP00000263955	STK17B	9262	Kinase
O94777	SWISS-PROT	Dolichol phosphate-mannose biosynthesis regulatory protein	ENSP00000322181	DPM2	8818	None
O94804	SWISS-PROT	Serine/threonine-protein kinase 10	ENSP00000176763	STK10	6793	Kinase
O94806	SWISS-PROT	Protein kinase C nu	ENSP00000234179	PRKD3	23683	Kinase
O94907	SWISS-PROT	Dickkopf-related protein 1	ENSP00000363081	DKK1	22943	None
O94921	SWISS-PROT	Serine/threonine-protein kinase PFTAIRE-1	ENSP00000265741	CDK14	5218	Kinase
O95045	SWISS-PROT	Uridine phosphorylase 2	ENSP00000387230	UPP2	151531	Enzyme
O95050	SWISS-PROT	Indolethylamine N-methyltransferase	ENSP00000013222	INMT	11185	Enzyme
O95067	SWISS-PROT	G2/mitotic-specific cyclin B2	ENSP00000288207	CCNB2	9133	None
O95136	SWISS-PROT	Sphingosine 1-phosphate receptor Edg-5	ENSP00000466933	S1PR2	9294	GPCR
O95139	SWISS-PROT	NADH-ubiquinone oxidoreductase B17 subunit	ENSP00000369176	NDUFB6	4712	Enzyme
O95163	SWISS-PROT	IkappaB kinase complex-associated protein	ENSP00000363779	IKBKAP	8518	None
O95180	SWISS-PROT	Voltage-gated T-type calcium channel alpha-1H subunit	ENSP00000334198	CACNA1H	8912	IC
O95237	SWISS-PROT	Phosphatidylcholine-retinol O-acyltransferase	ENSP00000337224	LRAT	9227	Enzyme
O95239	SWISS-PROT	Chromosome-associated kinesin KIF4A	ENSP00000363524	KIF4A	24137	None
O95259	SWISS-PROT	Voltage-gated potassium channel subunit Kv10.1	ENSP00000271751	KCNH1	3756	IC
O95263	SWISS-PROT	Phosphodiesterase 8B	ENSP00000264917	PDE8B	8622	Enzyme
O95264	SWISS-PROT	Serotonin 3b (5-HT3b) receptor	ENSP00000260191	HTR3B	9177	IC
O95267	SWISS-PROT	RAS guanyl-releasing protein 1	ENSP00000310244	RASGRP1	10125	None
O95271	SWISS-PROT	Tankyrase-1	ENSP00000311579	TNKS	8658	Enzyme
O95299	SWISS-PROT	NADH-ubiquinone oxidoreductase 42 kDa subunit	ENSP00000252711	NDUFA10	4705	Enzyme
O95342	SWISS-PROT	Bile salt export pump	ENSP00000263817	ABCB11	8647	Transporter
O95363	SWISS-PROT	Phenylalanyl-tRNA synthetase mitochondrial	ENSP00000274680	FARS2	10667	Enzyme
O95382	SWISS-PROT	NA	ENSP00000350195	MAP3K6	9064	Kinase
O95399	SWISS-PROT	Urotensin-2	ENSP00000054668	UTS2	10911	None
O95456	SWISS-PROT	Proteasome assembly chaperone 1	ENSP00000329915	PSMG1	8624	None
O95544	SWISS-PROT	NAD kinase	ENSP00000340925	NADK	65220	Kinase
O95622	SWISS-PROT	Adenylate cyclase type V	ENSP00000419361	ADCY5	111	Enzyme
O95644	SWISS-PROT	Nuclear factor of activated T-cells cytoplasmic 1 	ENSP00000327850	NFATC1	4772	TF
O95665	SWISS-PROT	Neurotensin receptor 2	ENSP00000303686	NTSR2	23620	GPCR
O95718	SWISS-PROT	Estrogen-related receptor beta	ENSP00000370270	ESRRB	2103	NR
O95747	SWISS-PROT	NA	ENSP00000311713	OXSR1	9943	Kinase
O95749	SWISS-PROT	Geranylgeranyl pyrophosphate synthetase	ENSP00000282841	GGPS1	9453	Enzyme
O95819	SWISS-PROT	Mitogen-activated protein kinase kinase kinase kinase 4	ENSP00000314363	MAP4K4	9448	Kinase
O95822	SWISS-PROT	Malonyl-CoA decarboxylase	ENSP00000262430	MLYCD	23417	Enzyme
O95835	SWISS-PROT	Serine/threonine-protein kinase LATS1	ENSP00000253339	LATS1	9113	Kinase
O95838	SWISS-PROT	Glucagon-like peptide 2 receptor	ENSP00000262441	GLP2R	9340	GPCR
O95864	SWISS-PROT	Fatty acid desaturase 2	ENSP00000278840	FADS2	9415	Enzyme
O95870	SWISS-PROT	Protein BAT5	ENSP00000379282	ABHD16A	7920	Enzyme
O95977	SWISS-PROT	Sphingosine 1-phosphate receptor Edg-6	ENSP00000246115	S1PR4	8698	GPCR
O95985	SWISS-PROT	DNA topoisomerase III beta	ENSP00000349705	TOP3B	8940	Enzyme
O96013	SWISS-PROT	Serine/threonine-protein kinase PAK 4	ENSP00000351049	PAK4	10298	Kinase
O96017	SWISS-PROT	Serine/threonine-protein kinase Chk2	ENSP00000372023	CHEK2	11200	Kinase
O96020	SWISS-PROT	G1/S-specific cyclin E2	ENSP00000309181	CCNE2	9134	None
P00167	SWISS-PROT	Cytochrome b5	ENSP00000341625	CYB5A	1528	None
P00325	SWISS-PROT	Alcohol dehydrogenase beta chain 	ENSP00000306606	ADH1B	125	Enzyme
P00326	SWISS-PROT	Alcohol dehydrogenase gamma chain 	ENSP00000306606	ADH1C	126	Enzyme
P00338	SWISS-PROT	L-lactate dehydrogenase A chain	ENSP00000445175	LDHA	3939	Enzyme
P00352	SWISS-PROT	Aldehyde dehydrogenase 1A1	ENSP00000297785	ALDH1A1	216	Enzyme
P00374	SWISS-PROT	Dihydrofolate reductase	ENSP00000396308	DHFR	1719	Enzyme
P00387	SWISS-PROT	NADH-cytochrome b5 reductase	ENSP00000354468	CYB5R3	1727	Enzyme
P00390	SWISS-PROT	Glutathione reductase	ENSP00000221130	GSR	2936	Enzyme
P00395	SWISS-PROT	Cytochrome c oxidase subunit 1	ENSP00000354499	MT-CO1	4512	Enzyme
P00403	SWISS-PROT	Cytochrome c oxidase subunit 2	ENSP00000354876	MT-CO2	4513	Enzyme
P00439	SWISS-PROT	Phenylalanine-4-hydroxylase 	ENSP00000448059	PAH	5053	Enzyme
P00441	SWISS-PROT	Superoxide dismutase	ENSP00000270142	SOD1	6647	Enzyme
P00451	SWISS-PROT	Coagulation factor VIII	ENSP00000353393	F8	2157	None
P00480	SWISS-PROT	Ornithine carbamoyltransferase	ENSP00000039007	OTC	5009	Enzyme
P00488	SWISS-PROT	Coagulation factor XIII	ENSP00000264870	F13A1	2162	Enzyme
P00491	SWISS-PROT	Purine nucleoside phosphorylase	ENSP00000354532	PNP	4860	Enzyme
P00492	SWISS-PROT	Hypoxanthine-guanine phosphoribosyltransferase	ENSP00000298556	HPRT1	3251	Enzyme
P00519	SWISS-PROT	Tyrosine-protein kinase ABL	ENSP00000361423	ABL1	25	Kinase
P00533	SWISS-PROT	Epidermal growth factor receptor erbB1	ENSP00000275493	EGFR	1956	Kinase
P00540	SWISS-PROT	Proto-oncogene serine/threonine-protein kinase mos	ENSP00000310722	MOS	4342	Kinase
P00558	SWISS-PROT	Phosphoglycerate kinase 1	ENSP00000362413	PGK1	5230	Kinase
