protein_accession,db_source,name
O43353,SWISS-PROT,"Serine/threonine-protein kinase RIPK2"
O43451,SWISS-PROT,"Maltase-glucoamylase"
O43497,SWISS-PROT,"Voltage-gated T-type calcium channel alpha-1G subunit"
O43521,SWISS-PROT,"Bcl-2-like protein 11"
O43524,SWISS-PROT,"Forkhead box protein O3"
O43525,SWISS-PROT,"Voltage-gated potassium channel subunit Kv7.3"
O43526,SWISS-PROT,"Voltage-gated potassium channel subunit Kv7.2"
O43548,SWISS-PROT,"Protein-glutamine gamma-glutamyltransferase X "
O43561,SWISS-PROT,"Linker for activation of T-cells family member 1"
O43570,SWISS-PROT,"Carbonic anhydrase XII"
O43603,SWISS-PROT,"Galanin receptor 2"
O43613,SWISS-PROT,"Orexin receptor 1"
O43614,SWISS-PROT,"Orexin receptor 2"
O43674,SWISS-PROT,"NADH-ubiquinone oxidoreductase SGDH subunit"
O43708,SWISS-PROT,"Glutathione S-transferase zeta 1"
O43741,SWISS-PROT,"AMP-activated protein kinase, beta-2 subunit"
O43781,SWISS-PROT,"Dual-specificity tyrosine-phosphorylation regulated kinase 3"
O43868,SWISS-PROT,"Sodium/nucleoside cotransporter 2"
O43895,SWISS-PROT,"Xaa-Pro aminopeptidase 2"
O43924,SWISS-PROT,"Phosphodiesterase 6D"
O60218,SWISS-PROT,"Aldo-keto reductase family 1 member B10"
O60237,SWISS-PROT,"Protein phosphatase 1 regulatory subunit 12B"
O60256,SWISS-PROT,"Phosphoribosyl pyrophosphate synthetase-associated protein 2"
O60259,SWISS-PROT,"Kallikrein 8"
O60266,SWISS-PROT,"Adenylate cyclase type III"
O60285,SWISS-PROT,"NUAK family SNF1-like kinase 1"
O60333,SWISS-PROT,"Kinesin-like protein KIF1B"
O60341,SWISS-PROT,"Lysine-specific histone demethylase 1"
O60344,SWISS-PROT,"Endothelin-converting enzyme 2"
O60391,SWISS-PROT,"Glutamate [NMDA] receptor subunit 3B"
O60427,SWISS-PROT,"Fatty acid desaturase 1"
O60502,SWISS-PROT,"Bifunctional protein NCOAT"
O60503,SWISS-PROT,"Adenylate cyclase type IX"
O60551,SWISS-PROT,"Peptide N-myristoyltransferase 2"
O60563,SWISS-PROT,"Cyclin T1"
O60603,SWISS-PROT,"Toll-like receptor 2"
O60658,SWISS-PROT,"Phosphodiesterase 8A"
O60674,SWISS-PROT,"Tyrosine-protein kinase JAK2"
O60678,SWISS-PROT,"Protein arginine N-methyltransferase 3"
O60704,SWISS-PROT,"Protein-tyrosine sulfotransferase 2 "
O60706,SWISS-PROT,"Sulfonylurea receptor 2"
O60725,SWISS-PROT,"Isoprenylcysteine carboxyl methyltransferase"
O60733,SWISS-PROT,"Calcium-independent phospholipase A2"
O60755,SWISS-PROT,"Galanin receptor 3"
O60760,SWISS-PROT,"Hematopoietic prostaglandin D synthase"
O60762,SWISS-PROT,"Mannose-P-dolichol synthase"
O60779,SWISS-PROT,"Thiamine transporter 1"
O60840,SWISS-PROT,"Voltage-gated L-type calcium channel alpha-1F subunit"
O60883,SWISS-PROT,"Endothelin B receptor-like protein 2"
O60885,SWISS-PROT,
O60894,SWISS-PROT,"Receptor activity-modifying protein 1"
O60895,SWISS-PROT,"Receptor activity-modifying protein 2"
O60906,SWISS-PROT,"Neutral sphingomyelinase"
O60911,SWISS-PROT,"Cathepsin L2"
O60930,SWISS-PROT,"Ribonuclease H1"
O60939,SWISS-PROT,"Sodium channel beta-2 subunit"
O75015,SWISS-PROT,"Low affinity immunoglobulin gamma Fc region receptor III-B"
O75038,SWISS-PROT,"KIAA0450"
O75106,SWISS-PROT,"Retina-specific amine oxidase, copper containing"
O75116,SWISS-PROT,"Rho-associated protein kinase 2"
O75164,SWISS-PROT,"Lysine-specific demethylase 4A"
O75173,SWISS-PROT,"ADAMTS4"
O75306,SWISS-PROT,"NADH-ubiquinone oxidoreductase 49 kDa subunit"
O75311,SWISS-PROT,"Glycine receptor subunit alpha-3"
O75343,SWISS-PROT,"Guanylate cyclase soluble beta-2 chain"
O75355,SWISS-PROT,"Ectonucleoside triphosphate diphosphohydrolase 3"
O75365,SWISS-PROT,"Protein-tyrosine phosphatase 4A3"
O75385,SWISS-PROT,"Serine/threonine-protein kinase ULK1"
O75387,SWISS-PROT,"L-type amino acid transporter 3"
O75414,SWISS-PROT,"Nucleoside diphosphate kinase 6"
O75417,SWISS-PROT,"DNA polymerase theta"
O75419,SWISS-PROT,"CDC45-related protein"
O75460,SWISS-PROT,
O75469,SWISS-PROT,"Pregnane X receptor"
O75493,SWISS-PROT,"Carbonic anhydrase-related protein 2"
O75578,SWISS-PROT,"Integrin alpha-10"
O75582,SWISS-PROT,"Ribosomal protein S6 kinase alpha 5"
O75676,SWISS-PROT,"Ribosomal protein S6 kinase alpha 4"
O75688,SWISS-PROT,"Protein phosphatase 2C beta"
O75716,SWISS-PROT,"Serine/threonine-protein kinase 16"
O75747,SWISS-PROT,
O75762,SWISS-PROT,"Transient receptor potential cation channel subfamily A member 1"
O75795,SWISS-PROT,"UDP-glucuronosyltransferase 2B17"
O75815,SWISS-PROT,"Antiestrogen binding site"
O75828,SWISS-PROT,"Carbonyl reductase [NADPH] 3"
O75884,SWISS-PROT,"Putative hydrolase RBBP9"
O75899,SWISS-PROT,"GABA-B receptor 2"
O75907,SWISS-PROT,"Diacylglycerol O-acyltransferase 1"
O75908,SWISS-PROT,"Acyl coenzyme A:cholesterol acyltransferase 2"
O75914,SWISS-PROT,"Serine/threonine-protein kinase PAK 3"
O75956,SWISS-PROT,"Cyclin-dependent kinase 2-associated protein 2"
O76021,SWISS-PROT,"Ribosomal L1 domain-containing protein 1"
O76039,SWISS-PROT,
O76062,SWISS-PROT,"Delta(14)-sterol reductase"
O76074,SWISS-PROT,"Phosphodiesterase 5A"
O76083,SWISS-PROT,"Phosphodiesterase 9A"
O94760,SWISS-PROT,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1"
O94766,SWISS-PROT,"Beta-1,3-glucuronyltransferase 3"
O94768,SWISS-PROT,"Serine/threonine-protein kinase 17B"
O94777,SWISS-PROT,"Dolichol phosphate-mannose biosynthesis regulatory protein"
O94804,SWISS-PROT,"Serine/threonine-protein kinase 10"
O94806,SWISS-PROT,"Protein kinase C nu"
O94907,SWISS-PROT,"Dickkopf-related protein 1"
O94921,SWISS-PROT,"Serine/threonine-protein kinase PFTAIRE-1"
O95045,SWISS-PROT,"Uridine phosphorylase 2"
O95050,SWISS-PROT,"Indolethylamine N-methyltransferase"
O95067,SWISS-PROT,"G2/mitotic-specific cyclin B2"
O95136,SWISS-PROT,"Sphingosine 1-phosphate receptor Edg-5"
O95139,SWISS-PROT,"NADH-ubiquinone oxidoreductase B17 subunit"
O95163,SWISS-PROT,"IkappaB kinase complex-associated protein"
O95180,SWISS-PROT,"Voltage-gated T-type calcium channel alpha-1H subunit"
O95237,SWISS-PROT,"Phosphatidylcholine-retinol O-acyltransferase"
O95239,SWISS-PROT,"Chromosome-associated kinesin KIF4A"
O95259,SWISS-PROT,"Voltage-gated potassium channel subunit Kv10.1"
O95263,SWISS-PROT,"Phosphodiesterase 8B"
O95264,SWISS-PROT,"Serotonin 3b (5-HT3b) receptor"
O95267,SWISS-PROT,"RAS guanyl-releasing protein 1"
O95271,SWISS-PROT,"Tankyrase-1"
O95299,SWISS-PROT,"NADH-ubiquinone oxidoreductase 42 kDa subunit"
O95342,SWISS-PROT,"Bile salt export pump"
O95363,SWISS-PROT,"Phenylalanyl-tRNA synthetase mitochondrial"
O95382,SWISS-PROT,
O95399,SWISS-PROT,"Urotensin-2"
O95456,SWISS-PROT,"Proteasome assembly chaperone 1"
O95544,SWISS-PROT,"NAD kinase"
O95622,SWISS-PROT,"Adenylate cyclase type V"
O95644,SWISS-PROT,"Nuclear factor of activated T-cells cytoplasmic 1 "
O95665,SWISS-PROT,"Neurotensin receptor 2"
O95718,SWISS-PROT,"Estrogen-related receptor beta"
O95747,SWISS-PROT,
O95749,SWISS-PROT,"Geranylgeranyl pyrophosphate synthetase"
O95819,SWISS-PROT,"Mitogen-activated protein kinase kinase kinase kinase 4"
O95822,SWISS-PROT,"Malonyl-CoA decarboxylase"
O95835,SWISS-PROT,"Serine/threonine-protein kinase LATS1"
O95838,SWISS-PROT,"Glucagon-like peptide 2 receptor"
O95864,SWISS-PROT,"Fatty acid desaturase 2"
O95870,SWISS-PROT,"Protein BAT5"
O95977,SWISS-PROT,"Sphingosine 1-phosphate receptor Edg-6"
O95985,SWISS-PROT,"DNA topoisomerase III beta"
O96013,SWISS-PROT,"Serine/threonine-protein kinase PAK 4"
O96017,SWISS-PROT,"Serine/threonine-protein kinase Chk2"
O96020,SWISS-PROT,"G1/S-specific cyclin E2"
P00167,SWISS-PROT,"Cytochrome b5"
P00325,SWISS-PROT,"Alcohol dehydrogenase beta chain "
P00326,SWISS-PROT,"Alcohol dehydrogenase gamma chain "
P00338,SWISS-PROT,"L-lactate dehydrogenase A chain"
P00352,SWISS-PROT,"Aldehyde dehydrogenase 1A1"
P00374,SWISS-PROT,"Dihydrofolate reductase"
P00387,SWISS-PROT,"NADH-cytochrome b5 reductase"
P00390,SWISS-PROT,"Glutathione reductase"
P00395,SWISS-PROT,"Cytochrome c oxidase subunit 1"
P00403,SWISS-PROT,"Cytochrome c oxidase subunit 2"
P00439,SWISS-PROT,"Phenylalanine-4-hydroxylase "
P00441,SWISS-PROT,"Superoxide dismutase"
P00451,SWISS-PROT,"Coagulation factor VIII"
P00480,SWISS-PROT,"Ornithine carbamoyltransferase"
P00488,SWISS-PROT,"Coagulation factor XIII"
P00491,SWISS-PROT,"Purine nucleoside phosphorylase"
P00492,SWISS-PROT,"Hypoxanthine-guanine phosphoribosyltransferase"
P00519,SWISS-PROT,"Tyrosine-protein kinase ABL"
P00533,SWISS-PROT,"Epidermal growth factor receptor erbB1"
P00540,SWISS-PROT,"Proto-oncogene serine/threonine-protein kinase mos"
P00558,SWISS-PROT,"Phosphoglycerate kinase 1"
P00568,SWISS-PROT,"Adenylate kinase 1"
P00734,SWISS-PROT,"Thrombin"
P00736,SWISS-PROT,"Complement C1r"
P00740,SWISS-PROT,"Coagulation factor IX"
P00742,SWISS-PROT,"Coagulation factor X"
P00747,SWISS-PROT,"Plasminogen"
P00748,SWISS-PROT,"Coagulation factor XII"
P00749,SWISS-PROT,"Urokinase-type plasminogen activator"
P00750,SWISS-PROT,"Tissue-type plasminogen activator"
P00751,SWISS-PROT,"Complement factor B"
P00790,SWISS-PROT,"Pepsin A"
P00797,SWISS-PROT,"Renin"
P00813,SWISS-PROT,"Adenosine deaminase"
P00915,SWISS-PROT,"Carbonic anhydrase I"
P00918,SWISS-PROT,"Carbonic anhydrase II"
P01008,SWISS-PROT,"Antithrombin-III precursor"
P01011,SWISS-PROT,"Alpha-1-antichymotrypsin"
P01024,SWISS-PROT,"Complement C3"
P01100,SWISS-PROT,"Proto-oncogene protein c-fos"
P01112,SWISS-PROT,"Transforming protein p21/H-Ras-1 "
P01130,SWISS-PROT,"LDL receptor"
P01133,SWISS-PROT,"Pro-epidermal growth factor"
P01213,SWISS-PROT,"Proenkephalin B"
P01275,SWISS-PROT,"Glucagon"
P01282,SWISS-PROT,"VIP peptides"
P01308,SWISS-PROT,"Insulin"
P01374,SWISS-PROT,"TNF-beta"
P01375,SWISS-PROT,"TNF-alpha"
P01588,SWISS-PROT,"Erythropoietin"
P01589,SWISS-PROT,"Interleukin-2 receptor alpha chain"
P01730,SWISS-PROT,"T-cell surface antigen CD4"
P01854,SWISS-PROT,"Ig epsilon chain C region"
P02452,SWISS-PROT,"Collagen alpha 1 chain"
P02647,SWISS-PROT,"Apolipoprotein A-I"
P02671,SWISS-PROT,"Fibrinogen alpha/alpha-E chain"
P02675,SWISS-PROT,"Fibrinogen beta chain"
P02679,SWISS-PROT,"Fibrinogen gamma chain "
P02708,SWISS-PROT,"Acetylcholine receptor protein alpha chain"
P02724,SWISS-PROT,"Glycophorin-A"
P02743,SWISS-PROT,"Serum amyloid P-component"
P02749,SWISS-PROT,"Apolipoprotein H"
P02751,SWISS-PROT,"Fibronectin"
P02753,SWISS-PROT,"Plasma retinol-binding protein"
P02763,SWISS-PROT,"Alpha-1-acid glycoprotein 1"
P02766,SWISS-PROT,"Transthyretin"
P02768,SWISS-PROT,"Serum albumin"
P02774,SWISS-PROT,"Vitamin D-binding protein"
P02787,SWISS-PROT,"Serotransferrin"
P03372,SWISS-PROT,"Estrogen receptor alpha"
P03886,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 1 "
P03891,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 2 "
P03897,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 3 "
P03901,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 4L "
P03905,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 4 "
P03915,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 5 "
P03923,SWISS-PROT,"NADH-ubiquinone oxidoreductase chain 6 "
P03950,SWISS-PROT,"Angiogenin"
P03951,SWISS-PROT,"Coagulation factor XI"
P03952,SWISS-PROT,"Plasma kallikrein"
P03956,SWISS-PROT,"Matrix metalloproteinase-1"
P04004,SWISS-PROT,"Vitronectin"
P04035,SWISS-PROT,"HMG-CoA reductase"
P04049,SWISS-PROT,"Serine/threonine-protein kinase RAF"
P04053,SWISS-PROT,"Terminal deoxynucleotidyltransferase"
P04054,SWISS-PROT,"Phospholipase A2 group 1B"
P04062,SWISS-PROT,"Beta-glucocerebrosidase"
P04066,SWISS-PROT,"Alpha-L-fucosidase I"
P04070,SWISS-PROT,"Vitamin K-dependent protein C"
P04075,SWISS-PROT,"Fructose-bisphosphate aldolase A"
P04114,SWISS-PROT,"Apolipoprotein B-100 "
P04150,SWISS-PROT,"Glucocorticoid receptor"
P04156,SWISS-PROT,"Prion protein"
P04180,SWISS-PROT,"Phosphatidylcholine-sterol acyltransferase"
P04181,SWISS-PROT,"Ornithine aminotransferase, mitochondrial"
P04183,SWISS-PROT,"Thymidine kinase, cytosolic"
P04229,SWISS-PROT,"HLA class II histocompatibility antigen DRB1-1"
P04233,SWISS-PROT,"HLA-DR antigens-associated invariant chain"
P04271,SWISS-PROT,"S-100 protein beta chain"
P04278,SWISS-PROT,"Testis-specific androgen-binding protein"
P04350,SWISS-PROT,"Tubulin beta-4 chain"
P04406,SWISS-PROT,"Glyceraldehyde-3-phosphate dehydrogenase liver"
P04439,SWISS-PROT,"HLA class I histocompatibility antigen A-3"
P04626,SWISS-PROT,"Receptor protein-tyrosine kinase erbB-2"
P04629,SWISS-PROT,"Nerve growth factor receptor Trk-A"
P04632,SWISS-PROT,"Calpain small subunit 1"
P04637,SWISS-PROT,"Cellular tumor antigen p53"
P04745,SWISS-PROT,"Salivary alpha-amylase"
P04746,SWISS-PROT,"Pancreatic alpha-amylase"
P04792,SWISS-PROT,"Heat shock protein beta-1"
P04798,SWISS-PROT,"Cytochrome P450 1A1"
P04818,SWISS-PROT,"Thymidylate synthase"
P05023,SWISS-PROT,"Sodium/potassium-transporting ATPase alpha-1 chain"
P05026,SWISS-PROT,"Sodium/potassium-transporting ATPase beta-1 chain"
P05067,SWISS-PROT,"Beta amyloid A4 protein"
P05089,SWISS-PROT,"Arginase-1"
P05091,SWISS-PROT,"Aldehyde dehydrogenase"
P05093,SWISS-PROT,"Cytochrome P450 17A1"
P05106,SWISS-PROT,"Integrin beta-3"
P05107,SWISS-PROT,"Integrin beta-2"
P05108,SWISS-PROT,"Cytochrome P450 11A1"
P05113,SWISS-PROT,
P05121,SWISS-PROT,"Plasminogen activator inhibitor-1"
P05129,SWISS-PROT,"Protein kinase C gamma"
P05162,SWISS-PROT,"Galectin-2"
P05164,SWISS-PROT,"Myeloperoxidase"
P05177,SWISS-PROT,"Cytochrome P450 1A2"
P05181,SWISS-PROT,"Cytochrome P450 2E1"
P05186,SWISS-PROT,"Alkaline phosphatase, tissue-nonspecific isozyme"
P05187,SWISS-PROT,"Alkaline phosphatase placental type"
P05230,SWISS-PROT,"Acidic fibroblast growth factor"
P05362,SWISS-PROT,"Intercellular adhesion molecule-1 "
P05412,SWISS-PROT,"Proto-oncogene c-JUN"
P05413,SWISS-PROT,"Fatty acid binding protein muscle"
P05423,SWISS-PROT,"DNA-directed RNA polymerase III 47 kDa polypeptide"
P05543,SWISS-PROT,"Thyroxine-binding globulin"
P05556,SWISS-PROT,"Fibronectin receptor beta"
P05771,SWISS-PROT,"Protein kinase C beta"
P06133,SWISS-PROT,"UDP-glucuronosyltransferase 2B4"
P06213,SWISS-PROT,"Insulin receptor"
P06239,SWISS-PROT,"Tyrosine-protein kinase LCK"
P06241,SWISS-PROT,"Tyrosine-protein kinase FYN"
P06276,SWISS-PROT,"Butyrylcholinesterase"
P06280,SWISS-PROT,"Alpha-galactosidase A"
P06400,SWISS-PROT,"Retinoblastoma-associated protein"
P06401,SWISS-PROT,"Progesterone receptor"
P06493,SWISS-PROT,"Cyclin-dependent kinase 1"
P06729,SWISS-PROT,"T-cell surface antigen CD2"
P06730,SWISS-PROT,"Eukaryotic translation initation factor"
P06732,SWISS-PROT,"Creatine kinase M"
P06733,SWISS-PROT,"Alpha enolase"
P06734,SWISS-PROT,"Immunoglobulin epsilon Fc receptor"
P06737,SWISS-PROT,"Liver glycogen phosphorylase"
P06746,SWISS-PROT,"DNA polymerase beta"
P06748,SWISS-PROT,"Nucleophosmin"
P06756,SWISS-PROT,"Vitronectin receptor alpha"
P06858,SWISS-PROT,"Lipoprotein lipase"
P06870,SWISS-PROT,"Kallikrein 1"
P06881,SWISS-PROT,"Calcitonin gene-related peptide 1"
P07098,SWISS-PROT,"Gastric lipase"
P07099,SWISS-PROT,"Epoxide hydrolase 1"
P07101,SWISS-PROT,"Tyrosine 3-hydroxylase"
P07148,SWISS-PROT,"Fatty acid-binding protein, liver"
P07195,SWISS-PROT,"L-lactate dehydrogenase B chain"
P07202,SWISS-PROT,"Thyroid peroxidase"
P07205,SWISS-PROT,"Phosphoglycerate kinase 2"
P07237,SWISS-PROT,"Protein disulfide-isomerase"
P07288,SWISS-PROT,"Prostate specific antigen"
P07306,SWISS-PROT,"Asialoglycoprotein receptor 1"
P07307,SWISS-PROT,"Asialoglycoprotein receptor 2"
P07327,SWISS-PROT,"Alcohol dehydrogenase alpha chain"
P07332,SWISS-PROT,"Tyrosine-protein kinase FES"
P07333,SWISS-PROT,"Macrophage colony stimulating factor  receptor "
P07339,SWISS-PROT,"Cathepsin D"
P07384,SWISS-PROT,"Calpain 1"
P07437,SWISS-PROT,"Tubulin beta-5 chain"
P07451,SWISS-PROT,"Carbonic anhydrase III"
P07477,SWISS-PROT,"Trypsin I"
P07478,SWISS-PROT,"Trypsin II"
P07510,SWISS-PROT,"Acetylcholine receptor protein gamma chain"
P07550,SWISS-PROT,"Beta-2 adrenergic receptor"
P07686,SWISS-PROT,"Beta-hexosaminidase subunit beta"
P07711,SWISS-PROT,"Cathepsin L"
P07766,SWISS-PROT,"T-cell surface glycoprotein CD3 epsilon chain"
P07814,SWISS-PROT,"Aminoacyl-tRNA synthetase"
P07858,SWISS-PROT,"Cathepsin B "
P07864,SWISS-PROT,"L-lactate dehydrogenase C chain"
P07900,SWISS-PROT,"Heat shock protein HSP 90-alpha"
P07947,SWISS-PROT,"Tyrosine-protein kinase YES"
P07948,SWISS-PROT,"Tyrosine-protein kinase Lyn "
P07949,SWISS-PROT,"Tyrosine-protein kinase receptor RET"
P07998,SWISS-PROT,"Ribonuclease pancreatic"
P08047,SWISS-PROT,"Transcription factor Sp1"
P08069,SWISS-PROT,"Insulin-like growth factor I receptor"
P08107,SWISS-PROT,"Heat shock 70 kDa protein 1"
P08123,SWISS-PROT,"Collagen alpha 2 chain"
P08138,SWISS-PROT,"Low affinity neurotrophin receptor p75NTR"
P08151,SWISS-PROT,"Zinc finger protein GLI1"
P08172,SWISS-PROT,"Muscarinic acetylcholine receptor M2"
P08173,SWISS-PROT,"Muscarinic acetylcholine receptor M4"
P08183,SWISS-PROT,"P-glycoprotein 1"
P08185,SWISS-PROT,"Corticosteroid binding globulin"
P08217,SWISS-PROT,"Elastase 2A"
P08218,SWISS-PROT,"Elastase 2B"
P08235,SWISS-PROT,"Mineralocorticoid receptor"
P08236,SWISS-PROT,"Beta-glucuronidase"
P08237,SWISS-PROT,"Phosphofructokinase muscle type"
P08238,SWISS-PROT,"Heat shock protein HSP 90-beta"
P08243,SWISS-PROT,"Asparagine synthetase"
P08246,SWISS-PROT,"Leukocyte elastase"
P08253,SWISS-PROT,"Matrix metalloproteinase-2"
P08254,SWISS-PROT,"Matrix metalloproteinase 3"
P08263,SWISS-PROT,"Glutathione S-transferase A1 "
P08311,SWISS-PROT,"Cathepsin G"
P08319,SWISS-PROT,"Alcohol dehydrogenase class II"
P08473,SWISS-PROT,"Neprilysin"
P08514,SWISS-PROT,"Integrin alpha-IIb"
P08559,SWISS-PROT,"Pyruvate dehydrogenase E1 component alpha subunit somatic form"
P08575,SWISS-PROT,"Leukocyte common antigen "
