ID	Disease_ID	Disorder_name	gene	Gene_symbols	OMIM_ID	Chromosome	Class	OMIM_Disease_ID
49	47	Adenomas, salivary gland pleomorphic, 181030 (3)	PLAG1	PLAG1, SGPA, PSA	603026	8q12	Cancer	181030
50	47	Adenomatous polyposis coli (3)	APC	APC, GS, FPC	175100	5q21-q22	Cancer	
51	47	Adenomatous polyposis coli, attenuated (3)	APC	APC, GS, FPC	175100	5q21-q22	Cancer	
52	49	Adenosine deaminase deficiency, partial, 102700 (3)	ADA	ADA	608958	20q13.11	Immunological	102700
53	50	Adenylosuccinase deficiency, 103050 (3)	ADSL	ADSL	608222	22q13.1	Metabolic	103050
54	52	Adiponectin deficiency (3)	APM1	APM1, GBP28	605441	3q27	Endocrine	
55	2053	Adrenal adenoma, sporadic (3)	MEN1	MEN1	131100	11q13	Cancer	
56	2054	Adrenal cortical carcinoma, 202300 (3)	TP53	TP53, P53, LFS1	191170	17p13.1	Cancer	202300
57	53	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency (3)	CYP11B1	CYP11B1, P450C11, FHI	202010	8q21	Endocrine	
58	53	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency (3)	CYP21A2	CYP21A2, CYP21, CA21H	201910	6p21.3	Endocrine	
59	53	Adrenal hyperplasia, congenital, due to combined P450C17 and P450C21 deficiency, 201750 (3)	POR	POR	124015	7q11.2	Endocrine	201750
60	53	Adrenal hypoplasia, congenital, with hypogonadotropic hypogonadism, 300200 (3)	DAX1	DAX1, AHC, AHX, NROB1	300473	Xp21.3-p21.2	Endocrine	300200
61	2055	Adrenocortical insufficiency without ovarian defect (3)	FTZF1	FTZF1, FTZ1, SF1	184757	9q33	Endocrine	
62	54	Adrenocortical tumor, somatic (3)	PRKAR1A	PRKAR1A, TSE1, CNC1, CAR	188830	17q23-q24	Cancer	
63	55	Adrenocorticotropic hormone deficiency, 201400 (3)	TBS19	TBS19	604614	1q23-q24	Endocrine	201400
64	56	Adrenoleukodystrophy, 300100 (3)	ABCD1	ABCD1, ALD, AMN	300371	Xq28	Neurological	300100
65	56	Adrenoleukodystrophy, neonatal, 202370 (3)	PEX10	PEX10, NALD	602859	Chr.1	Neurological	202370
66	56	Adrenoleukodystrophy, neonatal, 202370 (3)	PEX13	PEX13, ZWS, NALD	601789	2p15	Neurological	202370
67	56	Adrenoleukodystrophy, neonatal, 202370 (3)	PEX1	PEX1, ZWS1	602136	7q21-q22	Neurological	202370
68	56	Adrenoleukodystrophy, neonatal, 202370 (3)	PEX26	PEX26	608666	22q11.21	Neurological	202370
69	56	Adrenoleukodystrophy, neonatal, 202370 (3)	PXR1	PXR1, PEX5, PTS1R	600414	12p13.3	Neurological	202370
70	57	Adrenomyeloneuropathy, 300100 (3)	ABCD1	ABCD1, ALD, AMN	300371	Xq28	Metabolic	300100
71	58	Adult i phenotype with congenital cataract, 110800 (3)	GCNT2	GCNT2	600429	6p24-p23	Hematological	110800
72	58	Adult i phenotype without cataract, 110800 (3)	GCNT2	GCNT2	600429	6p24-p23	Hematological	110800
73	59	ADULT syndrome, 103285 (3)	TP73L	TP73L, TP63, KET, EEC3, SHFM4, LMS, RHS	603273	3q27	multiple	103285
74	60	Advanced sleep phase syndrome, familial, 604348 (3)	PER2	PER2, FASPS, KIAA0347	603426	2q37.3	Neurological	604348
75	61	Afibrinogenemia, 202400 (3)	FGA	FGA	134820	4q28	Hematological	202400
76	61	Afibrinogenemia, congenital, 202400 (3)	FGB	FGB	134830	4q28	Hematological	202400
77	63	Agammaglobulinemia, 601495 (3)	IGHM	IGHM, MU	147020	14q32.33	Hematological	601495
78	63	Agammaglobulinemia, autosomal recessive (3)	IGLL1	IGLL1, IGO, IGL5, VPREB2	146770	22q11.21	Hematological	
79	63	Agammaglobulinemia, non-Bruton type, 601495 (3)	LRRC8	LRRC8, KIAA1437	608360	9q34.13	Hematological	601495
80	63	Agammaglobulinemia, type 1, X-linked (3)	BTK	BTK, AGMX1, IMD1, XLA, AT	300300	Xq21.3-q22	Hematological	
81	64	AGAT deficiency (3)	GATM	GATM, AGAT	602360	15q15.3	Metabolic	
82	65	Agenesis of the corpus callosum with peripheral neuropathy, 218000 (3)	SLC12A6	SLC12A6, KCC3A, KCC3B, KCC3, ACCPN	604878	15q13-q14	Neurological	218000
83	69	AICA-ribosiduria due to ATIC deficiency, 608688 (3)	ATIC	ATIC, PURH, AICAR	601731	2q35	Metabolic	608688
84	70	AIDS, delayed/rapid progression to (3)	KIR3DL1	KIR3DL1, NKAT3, NKB1, AMB11, KIR3DS1	604946	19q13.4	Immunological	
85	70	AIDS, rapid progression to, 609423 (3)	IFNG	IFNG	147570	12q14	Immunological	609423
86	70	AIDS, resistance to (3)	CXCL12	CXCL12, SDF1	600835	10q11.1	Immunological	
87	71	Alagille syndrome, 118450 (3)	JAG1	JAG1, AGS, AHD	601920	20p12	multiple	118450
88	72	Albinism, brown oculocutaneous, (3)	OCA2	OCA2, P, PED, D15S12, BOCA	203200	15q11.2-q12	Dermatological	
89	72	Albinism, ocular, autosomal recessive (3)	OCA2	OCA2, P, PED, D15S12, BOCA	203200	15q11.2-q12	Dermatological	
90	72	Albinism, oculocutaneous, type IA, 203100 (3)	TYR	TYR	606933	11q14-q21	Dermatological	203100
91	72	Albinism, oculocutaneous, type IB, 606952 (3)	TYR	TYR	606933	11q14-q21	Dermatological	606952
92	72	Albinism, oculocutaneous, type II (3)	OCA2	OCA2, P, PED, D15S12, BOCA	203200	15q11.2-q12	Dermatological	
93	72	Albinism, rufous, 278400 (3)	TYRP1	TYRP1, CAS2, GP75	115501	9p23	Dermatological	278400
94	74	Alcohol dependence, susceptibility to, 103780 (3)	HTR2A	HTR2A	182135	13q14-q21	Unclassified	103780
95	2074	Alcohol intolerance, acute (3)	ALDH2	ALDH2	100650	12q24.2	Metabolic	
96	75	Alcoholism, susceptibility to, 103780 (3)	GABRA2	GABRA2	137140	4p13-p12	Unclassified	103780
97	76	Aldolase A deficiency (3)	ALDOA	ALDOA	103850	16q22-q24	Metabolic	
98	77	Aldosterone to renin ratio raised (3)	CYP11B2	CYP11B2	124080	8q21	Endocrine	
99	78	Aldosteronism, glucocorticoid-remediable, 103900 (3)	CYP11B1	CYP11B1, P450C11, FHI	202010	8q21	Endocrine	103900
100	79	Alexander disease, 203450 (3)	GFAP	GFAP	137780	17q21	multiple	203450
101	79	Alexander disease, 203450 (3)	NDUFV1	NDUFV1, UQOR1	161015	11q13	multiple	203450
102	80	Alkaptonuria, 203500 (3)	HGD	HGD, AKU	607474	3q21-q23	Metabolic	203500
103	82	Allan-Herndon-Dudley syndrome, 300523 (3)	SLC16A2	SLC16A2, DXS128, XPCT	300095	Xq13.2	Neurological	300523
104	83	Allergic rhinitis, susceptibility to, 607154 (3)	IL13	IL13, ALRH	147683	5q31	Immunological	607154
105	85	Alopecia universalis, 203655 (3)	HR	HR, AU	602302	8p21.2	Dermatological	203655
106	86	Alpers syndrome, 203700 (3)	POLG	POLG, POLG1, POLGA, PEO	174763	15q25	Neurological	203700
107	87	Alpha-1-antichymotrypsin deficiency (3)	SERPINA3	SERPINA3, AACT, ACT	107280	14q32.1	Respiratory	
108	88	Alpha-actinin-3 deficiency (3)	ACTN3	ACTN3	102574	11q13-q14	Muscular	
109	90	Alpha-methylacetoacetic aciduria, 203750 (3)	ACAT1	ACAT1	607809	11q22.3-q23.1	Metabolic	203750
110	91	Alpha-methylacyl-CoA racemase deficiency (3)	AMACR	AMACR	604489	5p13.2-q11.1	Metabolic	
111	92	Alpha-thalassemia/mental retardation syndrome, 301040 (3)	ATRX	ATRX, XH2, XNP, MRXS3, SHS	300032	Xq13	Hematological	301040
112	92	Alpha-thalassemia myelodysplasia syndrome, somatic, 300448 (3)	ATRX	ATRX, XH2, XNP, MRXS3, SHS	300032	Xq13	Hematological	300448
113	94	Alport syndrome, 301050 (3)	COL4A5	COL4A5, ATS, ASLN	303630	Xq22.3	Renal	301050
114	94	Alport syndrome, autosomal recessive, 203780 (3)	COL4A3	COL4A3	120070	2q36-q37	Renal	203780
115	94	Alport syndrome, autosomal recessive, 203780 (3)	COL4A4	COL4A4	120131	2q36-q37	Renal	203780
116	95	Alstrom syndrome, 203800 (3)	ALMS1	ALMS1, ALSS, KIAA0328	606844	2p13	Neurological	203800
117	96	Alternating hemiplegia of childhood, 104290 (3)	ATP1A2	ATP1A2, FHM2, MHP2	182340	1q21-q23	Neurological	104290
118	97	Alveolar soft-part sarcoma, 606243 (3)	ASPCR1	ASPCR1, RCC17, ASPL, ASPS	606236	17q25	Cancer	606243
119	98	Alzheimer disease-1, APP-related (3)	APP	APP, AAA, CVAP, AD1	104760	21q21	Neurological	
120	98	Alzheimer disease-2, 104310 (3)	APOE	APOE, AD2	107741	19q13.2	Neurological	104310
121	98	Alzheimer disease-4, 606889 (3)	PSEN2	PSEN2, AD4, STM2	600759	1q31-q42	Neurological	606889
122	98	Alzheimer disease, late-onset, 104300 (3)	APBB2	APBB2, FE65L1	602710	4p14	Neurological	104300
123	98	Alzheimer disease, late-onset, susceptibility to, 104300 (3)	NOS3	NOS3	163729	7q36	Neurological	104300
124	98	Alzheimer disease, late-onset, susceptibility to, 104300 (3)	PLAU	PLAU, URK	191840	10q24	Neurological	104300
125	98	Alzheimer disease, susceptibility to, 104300 (3)	ACE	ACE, DCP1, ACE1	106180	17q23	Neurological	104300
126	98	Alzheimer disease, susceptibility to, 104300 (3)	MPO	MPO	606989	17q23.1	Neurological	104300
127	98	Alzheimer disease, susceptibility to, 104300 (3)	PACIP1	PACIP1, PAXIP1L, PTIP	608254	7q36	Neurological	104300
128	98	Alzheimer disease, susceptibility to (3)	A2M	A2M	103950	12p13.3-p12.3	Neurological	
129	98	Alzheimer disease, susceptibility to (3)	BLMH	BLMH, BMH	602403	17q11.2	Neurological	
130	98	Alzheimer disease, type 3, 607822 (3)	PSEN1	PSEN1, AD3	104311	14q24.3	Neurological	607822
131	98	Alzheimer disease, type 3, with spastic paraparesis and apraxia, 607822 (3)	PSEN1	PSEN1, AD3	104311	14q24.3	Neurological	607822
132	98	Alzheimer disease, type 3, with spastic paraparesis and unusual plaques, 607822 (3)	PSEN1	PSEN1, AD3	104311	14q24.3	Neurological	607822
133	99	Amelogenesis imperfecta 2, hypoplastic local, 104500 (3)	ENAM	ENAM	606585	4q21	Bone	104500
134	99	Amelogenesis imperfecta, 301200 (3)	AMELX	AMELX, AMG, AIH1, AMGX	300391	Xp22.3-p22.1	Bone	301200
135	99	Amelogenesis imperfecta, hypomaturation-hypoplastic type, with taurodontism, 104510 (3)	DLX3	DLX3, TDO	600525	17q21.3-q22	Bone	104510
136	99	Amelogenesis imperfecta, hypoplastic, and openbite malocclusion, 608563 (3)	ENAM	ENAM	606585	4q21	Bone	608563
137	99	Amelogenesis imperfecta, pigmented hypomaturation type, 204700 (3)	KLK4	KLK4, EMSP1, PRSS17	603767	19q13.3-q13.4	Bone	204700
138	100	Amish infantile epilepsy syndrome, 609056 (3)	SIAT9	SIAT9, ST3GALV	604402	2p11.2	Neurological	609056
139	101	AMP deaminase deficiency, erythrocytic (3)	AMPD3	AMPD3	102772	11pter-p13	Hematological	
140	102	Amyloid neuropathy, familial, several allelic types (3)	TTR	TTR, PALB	176300	18q11.2-q12.1	Neurological	
141	103	Amyloidosis, 3 or more types (3)	APOA1	APOA1	107680	11q23	Neurological	
142	103	Amyloidosis, cerebroarterial, Dutch type (3)	APP	APP, AAA, CVAP, AD1	104760	21q21	Neurological	
143	103	Amyloidosis, Finnish type, 105120 (3)	GSN	GSN	137350	9q34	Neurological	105120
144	103	Amyloidosis, hereditary renal, 105200 (3)	FGA	FGA	134820	4q28	Neurological	105200
145	103	Amyloidosis, renal, 105200 (3)	LYZ	LYZ	153450	Chr.12	Neurological	105200
146	103	Amyloidosis, senile systemic (3)	TTR	TTR, PALB	176300	18q11.2-q12.1	Neurological	
147	104	Amyotrophic lateral sclerosis 8, 608627 (3)	VAPB	VAPB, VAPC, ALS8	605704	20q13.3	Neurological	608627
148	104	Amyotrophic lateral sclerosis, due to SOD1 deficiency, 105400 (3)	SOD1	SOD1, ALS1	147450	21q22.1	Neurological	105400
149	104	Amyotrophic lateral sclerosis, juvenile, 205100 (3)	ALS2	ALS2, ALSJ, PLSJ, IAHSP	606352	2q33	Neurological	205100
150	104	Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)	DCTN1	DCTN1	601143	2p13	Neurological	105400
151	104	Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)	NEFH	NEFH	162230	22q12.2	Neurological	105400
152	104	Amyotrophic lateral sclerosis, susceptibility to, 105400 (3)	PRPH	PRPH	170710	12q12-q13	Neurological	105400
153	105	Analbuminemia (3)	ALB	ALB	103600	4q11-q13	Hematological	
154	107	Analgesia from kappa-opioid receptor agonist, female-specific (3)	MC1R	MC1R	155555	16q24.3	Unclassified	
155	108	Anderson disease, 607689 (3)	SARA2	SARA2, SAR1B, CMRD	607690	5q31.1	Gastrointestinal	607689
156	109	Androgen insensitivity, 300068 (3)	AR	AR, DHTR, TFM, SBMA, KD, SMAX1	313700	Xq11-q12	Endocrine	300068
157	110	Anemia, congenital dyserythropoietic, type I, 224120 (3)	CDAN1	CDAN1, CDA1	607465	15q15	Hematological	224120
158	110	Anemia, Diamond-Blackfan, 105650 (3)	RPS19	RPS19, DBA	603474	19q13.2	Hematological	105650
159	110	Anemia, hemolytic, due to PK deficiency (3)	PKLR	PKLR, PK1	266200	1q21	Hematological	
160	110	Anemia, hemolytic, due to UMPH1 deficiency, 266120 (3)	NT5C3	NT5C3, UMPH1, PSN1	606224	7p15-p14	Hematological	266120
161	110	Anemia, hemolytic, Rh-null, regulator type, 268150 (3)	RHAG	RHAG, RH50A	180297	6p21.1-p11	Hematological	268150
162	110	Anemia, hypochromic microcytic, 206100 (3)	NRAMP2	NRAMP2	600523	12q13	Hematological	206100
163	110	Anemia, neonatal hemolytic, fatal and near-fatal (3)	SPTB	SPTB	182870	14q22-q23.2	Hematological	
164	110	Anemia, sideroblastic/hypochromic (3)	ALAS2	ALAS2, ANH1, ASB	301300	Xp11.21	Hematological	
165	110	Anemia, sideroblastic, with ataxia, 301310 (3)	ABCB7	ABCB7, ABC7, ASAT	300135	Xq13.1-q13.3	Hematological	301310
166	2112	Aneurysm, familial arterial (3)	COL3A1	COL3A1	120180	2q31	Unclassified	
167	113	Angelman syndrome, 105830 (3)	MECP2	MECP2, RTT, PPMX, MRX16, MRX79	300005	Xq28	Developmental	105830
168	113	Angelman syndrome, 105830 (3)	UBE3A	UBE3A, ANCR	601623	15q11-q13	Developmental	105830
169	114	Angioedema, hereditary, 106100 (3)	C1NH	C1NH, HAE1, HAE2, SERPING1	606860	11q11-q13.1	Immunological	106100
170	114	Angioedema induced by ACE inhibitors, susceptibility to (3)	XPNPEP2	XPNPEP2	300145	Xq25	Immunological	
171	115	Angiofibroma, sporadic (3)	MEN1	MEN1	131100	11q13	Endocrine	
172	117	Angiotensin I-converting enzyme, benign serum increase (3)	ACE	ACE, DCP1, ACE1	106180	17q23	Endocrine	
173	118	Anhaptoglobinemia (3)	HP	HP	140100	16q22.1	Hematological	
174	119	Aniridia, type II, 106210 (3)	PAX6	PAX6, AN2, MGDA	607108	11p13	Ophthamological	106210
175	121	Ankylosing spoldylitis, susceptibility to, 106300 (3)	HLA-B	HLA-B	142830	6p21.3	Connective tissue	106300
176	122	Anophthalmia 3, 206900 (3)	SOX2	SOX2, ANOP3	184429	3q26.3-q27	Ophthamological	206900
177	124	Anorexia nervosa, susceptibility to, 606788 (3)	HTR2A	HTR2A	182135	13q14-q21	Nutritional	606788
178	126	Anterior segment anomalies and cataract (3)	EYA1	EYA1, BOR	601653	8q13.3	Ophthamological	
179	126	Anterior segment mesenchymal dysgenesis, 107250 (3)	FOXE3	FOXE3, FKHL12, ASMD	601094	1p32	Ophthamological	107250
180	126	Anterior segment mesenchymal dysgenesis (3)	FOXC1	FOXC1, FKHL7, FREAC3	601090	6p25	Ophthamological	
181	126	Anterior segment mesenchymal dysgenesis and cataract, 107250 (3)	PITX3	PITX3	602669	10q25	Ophthamological	107250
182	127	Antithrombin III deficiency (3)	AT3	AT3	107300	1q23-q25	Hematological	
183	128	Antley-Bixler syndrome, 207410 (3)	POR	POR	124015	7q11.2	Unclassified	207410
184	129	Anxiety-related personality traits (3)	SLC6A4	SLC6A4, HTT, OCD1	182138	17q11.1-q12	Psychiatric	
185	130	Aortic aneurysm, ascending, and dissection (3)	FBN1	FBN1, MFS1, WMS	134797	15q21.1	Cardiovascular	
186	131	Apert syndrome, 101200 (3)	FGFR2	FGFR2, BEK, CFD1, JWS	176943	10q26	Connective tissue	101200
187	132	Aplasia of lacrimal and salivary glands, 180920 (3)	FGF10	FGF10	602115	5p13-p12	Gastrointestinal	180920
188	133	Aplastic anemia, 609135 (3)	IFNG	IFNG	147570	12q14	Hematological	609135
189	133	Aplastic anemia, 609135 (3)	TERC	TERC, TRC3, TR	602322	3q21-q28	Hematological	609135
190	133	Aplastic anemia, susceptibility to, 609135 (3)	TERT	TERT, TCS1, EST2	187270	5p15.33	Hematological	609135
191	134	Apnea, postanesthetic (3)	BCHE	BCHE, CHE1	177400	3q26.1-q26.2	Unclassified	
192	136	ApoA-I and apoC-III deficiency, combined (3)	APOA1	APOA1	107680	11q23	Metabolic	
193	136	Apolipoprotein A-II deficiency (3)	APOA2	APOA2	107670	1q21-q23	Metabolic	
194	136	Apolipoprotein C3 deficiency (3)	APOC3	APOC3	107720	11q23	Metabolic	
195	136	Apolipoprotein H deficiency (3)	APOH	APOH	138700	17q23-qter	Metabolic	
196	137	Apparent mineralocorticoid excess, hypertension due to (3)	HSD11B2	HSD11B2, HSD11K	218030	16q22	Bone	
197	138	Aquaporin-1 deficiency (3)	AQP1	AQP1, CHIP28, CO	107776	7p14	Unclassified	
198	139	ARC syndrome, 208085 (3)	VPS33B	VPS33B	608552	15q26.1	Gastrointestinal	208085
199	140	Argininemia, 207800 (3)	ARG1	ARG1	608313	6q23	Metabolic	207800
200	140	Argininosuccinic aciduria, 207900 (3)	ASL	ASL	608310	7cen-q11.2	Metabolic	207900
201	142	Aromatase deficiency (3)	CYP19A1	CYP19A1, CYP19, ARO	107910	15q21.1	Metabolic	
202	143	Aromatic L-amino acid decarboxylase deficiency, 608643 (3)	DDC	DDC	107930	7p11	Metabolic	608643
203	144	Arrhythmogenic right ventricular dysplasia 2, 600996 (3)	RYR2	RYR2, VTSIP	180902	1q42.1-q43	Cardiovascular	600996
204	144	Arrhythmogenic right ventricular dysplasia 8, 607450 (3)	DSP	DSP, KPPS2, PPKS2	125647	6p24	Cardiovascular	607450
205	144	Arrhythmogenic right ventricular dysplasia, familial, 9, 609040 (3)	PKP2	PKP2, ARVD9	602861	12p11	Cardiovascular	609040
206	146	Arthrogryposis multiplex congenita, distal, type 1, 108120 (3)	TPM2	TPM2, TMSB, AMCD1, DA1	190990	9p13.2-p13.1	Developmental	108120
207	146	Arthrogryposis multiplex congenita, distal, type 2B, 601680 (3)	TNNI2	TNNI2, AMCD2B, DA2B, FSSV	191043	11p15.5	Developmental	601680
208	147	Arthropathy, progressive pseudorheumatoid, of childhood, 208230 (3)	WISP3	WISP3, PPAC, PPD	603400	6q22-q23	Bone	208230
209	146	Arthyrgryposis multiplex congenita, distal, type 2B, 601680 (3)	TNNT3	TNNT3, AMCD2B, DA2B, FSSV	600692	11p15.5	Developmental	601680
210	150	Aspartylglucosaminuria (3)	AGA	AGA	208400	4q32-q33	Metabolic	
211	151	Asperger syndrome, 300494 (3)	NLGN3	NLGN3	300336	Xq13	Psychiatric	300494
212	151	Asperger syndrome, 300497 (3)	NLGN4	NLGN4, KIAA1260, AUTSX2	300427	Xp22.33	Psychiatric	300497
213	153	Asthma, 600807 (3)	PHF11	PHF11, NYREN34	607796	13q14.1	Respiratory	600807
214	153	Asthma, atopic, susceptibility to (3)	MS4A2	MS4A2, FCER1B	147138	11q13	Respiratory	
215	153	Asthma, dimished response to antileukotriene treatment in, 600807 (3)	ALOX5	ALOX5	152390	10q11.2	Respiratory	600807
216	153	Asthma, nocturnal, susceptibility to (3)	ADRB2	ADRB2	109690	5q32-q34	Respiratory	
217	153	Asthma, susceptibility to, 1, 607277 (3)	PTGDR	PTGDR, AS1	604687	14q22.1	Respiratory	607277
218	153	Asthma, susceptibility to, 2, 608584 (3)	GPR154	GPR154, GPRA, VRR1, PGR14	608595	7p15-p14	Respiratory	608584
219	153	Asthma, susceptibility to (3)	HNMT	HNMT	605238	1p32	Respiratory	
220	153	Asthma, susceptibility to, 600807 (3)	IL12B	IL12B, NKSF2	161561	5q31.1-q33.1	Respiratory	600807
221	153	Asthma, susceptibility to, 600807 (3)	IL13	IL13, ALRH	147683	5q31	Respiratory	600807
222	153	Asthma, susceptibility to, 600807 (3)	PLA2G7	PLA2G7, PAFAH	601690	6p21.2-p12	Respiratory	600807
223	153	Asthma, susceptibility to, 600807 (3)	SCGB3A2	SCGB3A2, UGRP1	606531	5q31-q34	Respiratory	600807
224	153	Asthma, susceptibility to, 600807 (3)	TNF	TNF, TNFA	191160	6p21.3	Respiratory	600807
225	153	Asthma, susceptibility to, 600807 (3)	UGB	UGB, CC10, CCSP, SCGB1A1	192020	11q12.3-q13.1	Respiratory	600807
226	154	Ataxia, cerebellar, Cayman type, 601238 (3)	ATCAY	ATCAY, CLAC, KIAA1872	608179	19p13.3	Neurological	601238
227	154	Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3)	APTX	APTX, AOA, AOA1	606350	9p13.3	Neurological	208920
